ref,title,text,image_path
ethical,ethical,"Ethical data research is critical, reflexive, and justice-oriented. We interrogate the power embedded in data by examining which stories are(n't) being told with it.",
empowering,empowering,"We believe in smashing black boxes that make it hard to access, analyze, or afford data. We strive to help make data science more empowering by providing resources on data science and data justice.",
engaging,engaging, Data moves; it tells stories; it’s anything but static. We emphasize data's richness by designing viz and showcasing projects that are interactive and imaginative.,
