Name,Years,Occupation,Resources
Joan Rosenblatt,1926-2018,Director of NIST's Computing and Applied Mathematics Laboratory,https://en.wikipedia.org/wiki/Joan_R._Rosenblatt
Mary Elizabeth Stevens,?-?,Chair - National Bureau of Standards,https://books.google.com/books?id=FRzsxAEACAAJ&sitesec=reviews; https://www.historyofinformation.com/detail.php?id=4805
Edith Harwith Goodman,?-?, Editor of Data Processing Magazine; attended Alice Mary Hilton's 1964 Conference on Cyberculture,https://books.google.com/books/about/Automated_Education_Handbook.html?id=zqiBzQEACAAJ
Corinne Jacker,1933-2013,Science editor & Playwright,https://en.wikipedia.org/wiki/Corinne_Jacker; https://books.google.com/books/about/Man_Memory_and_Machines.html?id=yQ85nQAACAAJ
Alice Mary Hilton,1919-2011,Mathematician; coined the term "cyberculture",https://en.wikipedia.org/wiki/Alice_Mary_Hilton
Rowena W Swanson,?-?,Airforce Office of Scientific Research,https://apps.dtic.mil/sti/citations/AD0657794; https://apps.dtic.mil/dtic/tr/fulltext/u2/637488.pdf
Mary Lou Jepsen,1965-,Computer hardware inventory; Co-founder - One Laptop per Child Initiative,https://en.wikipedia.org/wiki/Mary_Lou_Jepsen
